presentation_title,speaker,institution,session_title,time,room,building,year,society
NA,Sarah Klotz,Univ. of California,Native American Sites of Memory,5:15–6:30 p.m.,120,VCC West,2015,MLA
NA,Laura Lynn Mielke,Univ. of Kansas,Native American Sites of Memory,5:15–6:30 p.m.,120,VCC West,2015,MLA
NA,Phillip Round,Univ. of Iowa,Native American Sites of Memory,5:15–6:30 p.m.,120,VCC West,2015,MLA
'Home of the Cannibals': Interracial Contact and Immigration in Chris Ware's Jimmy Corrigan: The Smartest Kid on Earth,Timothy Paul Caron,California State Univ.,Immigration and Comics,5:15–6:30 p.m.,16,VCC East,2015,MLA
Aya in the Ivory Coast and Abouet in France: Immigration in Aya de Yopougon,Michelle Bumatay,Willamette Univ.,Immigration and Comics,5:15–6:30 p.m.,16,VCC East,2015,MLA
From Immigrants to Privateers: The Curious Case of Hogan's Alley and the Yellow Kid,David M. Ball,Princeton Univ.,Immigration and Comics,5:15–6:30 p.m.,16,VCC East,2015,MLA
Comedy of Errors: Lessons of Identity and Agency in American Born Chinese,Judy Schaaf,Univ. of Massachusetts,Immigration and Comics,5:15–6:30 p.m.,16,VCC East,2015,MLA
"Masculinity, Gender, and Queerness in Carlo Emilio Gadda's Work",Manuela Marchesini,Texas A&M Univ.,Rethinking Gender in Postunification Italy,5:15–6:30 p.m.,14,VCC East,2015,MLA
"Old Tales, New Males: The Redefinition of Masculinity in the Decamerotici",Nicoletta Marini-Maio,Dickinson Coll.,Rethinking Gender in Postunification Italy,5:15–6:30 p.m.,14,VCC East,2015,MLA
Trouble Men: Italian Cinema as Male Melodrama,Catherine O'Rawe,Bristol Univ.,Rethinking Gender in Postunification Italy,5:15–6:30 p.m.,14,VCC East,2015,MLA
Maternal Structure of Substitution and Negativity: The Task of Resignifying Patriarchal Thought in Italian Feminism,Andrea Righi,Colorado Coll.,Rethinking Gender in Postunification Italy,5:15–6:30 p.m.,14,VCC East,2015,MLA
Travels in Hyperreality: Crimea as a Contested Terrain in Lev Tolstoy's Sevastopol Stories and Vasily Aksenov's The Island of Crimea,Derek C. Maus,State Univ. of New York,The Cold War and Experimental Fiction,5:15–6:30 p.m.,10,VCC East,2015,MLA
"Jazz as an Alternative Modality of Music, Lifestyle, and Literature in Socialist-Era Eastern Europe",Jessie M. Labov,Ohio State Univ.,The Cold War and Experimental Fiction,5:15–6:30 p.m.,10,VCC East,2015,MLA
"The Temporality of the Experimental: African Writers, the Eastern Bloc, and the Cold War",Monica Popescu,McGill Univ.,The Cold War and Experimental Fiction,5:15–6:30 p.m.,10,VCC East,2015,MLA
NA,Margaret Hunt Gram,American Acad. of Arts and Sciences,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
NA,Daniel Grausam,Durham Univ.,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
NA,Rachel Greenwald Smith,Saint Louis Univ.,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
NA,Jenny Howell,Univ. of Texas,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
NA,Lee Konstantinou,Univ. of Maryland,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
NA,Lisa Siraganian,Southern Methodist Univ.,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
NA,Molly Wallace,Queen's Univ.,Lydia Millet,5:15–6:30 p.m.,119,VCC West,2015,MLA
Science Fiction and Stengers on Science Fiction,Colin Milburn,Univ. of California,Science Fiction and Science Studies: The Example of Isabelle Stengers,5:15–6:30 p.m.,220,VCC West,2015,MLA
American Literature and Stengers on Science Fiction,Joan T. Richardson,Graduate Center,Science Fiction and Science Studies: The Example of Isabelle Stengers,5:15–6:30 p.m.,220,VCC West,2015,MLA
Philosophy and Stengers on Science Fiction,Margret Grebowicz,Goucher Coll.,Science Fiction and Science Studies: The Example of Isabelle Stengers,5:15–6:30 p.m.,220,VCC West,2015,MLA
Stengers on Whitehead and Stengers on Science Fiction,Nicholas Gaskill,Rutgers Univ.,Science Fiction and Science Studies: The Example of Isabelle Stengers,5:15–6:30 p.m.,220,VCC West,2015,MLA
Theorizing Shakespearean Sport,Donald Hedrick,Kansas State Univ.,Playing with the Bard: Sports in Shakespeare and His Canon as a Game,5:15–6:30 p.m.,111,VCC West,2015,MLA
Shakespeare's Sports Canon: Chris Coculuzzi and the Modern (Mal)Appropriation of the Bard as a Game,Jorge Abril-Sanchez,Univ. of New Hampshire,Playing with the Bard: Sports in Shakespeare and His Canon as a Game,5:15–6:30 p.m.,111,VCC West,2015,MLA
'May the Odds Be Ever in Your Favor': Playing Imperial Games in William Shakespeare's The Tempest,Ambereen Dadabhoy,Harvey Mudd Coll.,Playing with the Bard: Sports in Shakespeare and His Canon as a Game,5:15–6:30 p.m.,111,VCC West,2015,MLA
NA,Michelle Chihara,Whittier Coll.,MFA versus PhD? Rethinking Creative Writing in the Academy,5:15–6:30 p.m.,109,VCC West,2015,MLA
NA,Carla Harryman,Eastern Michigan Univ.,MFA versus PhD? Rethinking Creative Writing in the Academy,5:15–6:30 p.m.,109,VCC West,2015,MLA
NA,Evan Kindley,Claremont McKenna Coll.,MFA versus PhD? Rethinking Creative Writing in the Academy,5:15–6:30 p.m.,109,VCC West,2015,MLA
NA,Catherine Liu,Univ. of California,MFA versus PhD? Rethinking Creative Writing in the Academy,5:15–6:30 p.m.,109,VCC West,2015,MLA
NA,Bharati Mukherjee,Univ. of California,MFA versus PhD? Rethinking Creative Writing in the Academy,5:15–6:30 p.m.,109,VCC West,2015,MLA
NA,Carol Muske-Dukes,Univ. of Southern California,MFA versus PhD? Rethinking Creative Writing in the Academy,5:15–6:30 p.m.,109,VCC West,2015,MLA
Lived in Bars,Carina Pasquesi,Baruch Coll.,Drinking Places as Sites of Memory,5:15–6:30 p.m.,219,VCC West,2015,MLA
The Public House in Ulysses,Maureen McVeigh,West Chester Univ.,Drinking Places as Sites of Memory,5:15–6:30 p.m.,219,VCC West,2015,MLA
Cheers and Nostalgia,David Pratt,NA,Drinking Places as Sites of Memory,5:15–6:30 p.m.,219,VCC West,2015,MLA
Richard Wright's Haiku and Imagism,Ce Rosenow,Lane Community Coll.,Haiku by American Writers,5:15–6:30 p.m.,210,VCC West,2015,MLA
Jack Kerouac's Haiku and The Dharma Bums,Yoshinobu Hakutani,Kent State Univ.,Haiku by American Writers,5:15–6:30 p.m.,210,VCC West,2015,MLA
James Emanuel's Jazz Haiku and Jean Toomer,Virginia W. Smith,Univ. of Alabama,Haiku by American Writers,5:15–6:30 p.m.,210,VCC West,2015,MLA
NA,Charles Stewart Berger,Southern Illinois Univ.,Wallace Stevens and Walt Whitman,5:15–6:30 p.m.,216,VCC West,2015,MLA
NA,Roger Gilbert,Cornell Univ.,Wallace Stevens and Walt Whitman,5:15–6:30 p.m.,216,VCC West,2015,MLA
NA,Tyler Brent Hoffman,Rutgers Univ.,Wallace Stevens and Walt Whitman,5:15–6:30 p.m.,216,VCC West,2015,MLA
NA,Lee M. Jenkins,University Coll. Cork,Wallace Stevens and Walt Whitman,5:15–6:30 p.m.,216,VCC West,2015,MLA
NA,Matt Miller,Yeshiva Univ.,Wallace Stevens and Walt Whitman,5:15–6:30 p.m.,216,VCC West,2015,MLA
NA,Patrick Redding,Manhattanville Coll.,Wallace Stevens and Walt Whitman,5:15–6:30 p.m.,216,VCC West,2015,MLA
"Crimea, the Invisible War",Sima N. Godfrey,Univ. of British Columbia,Toward the Great War,5:15–6:30 p.m.,18,VCC East,2015,MLA
Models of War: Zola's Epic of 1870–71 and the Fashioning of 1914,Nicholas White,Univ. of Cambridge,Toward the Great War,5:15–6:30 p.m.,18,VCC East,2015,MLA
Commemorative Acts: French Theater and the First World War,Leon Sachs,Univ. of Kentucky,Toward the Great War,5:15–6:30 p.m.,18,VCC East,2015,MLA
Queer Exaltations: Sexuality Asylum Claims and the Canadian Nation in Last Chance,Vinh Nguyen,McMaster Univ.,Queer Canada,5:15–6:30 p.m.,224,VCC West,2015,MLA
"Canoes, Sex, and Nation: Queering Canadian Landscapes",Jennifer MacLatchy,Mount Saint Vincent Univ.,Queer Canada,5:15–6:30 p.m.,224,VCC West,2015,MLA
Border Crossing in the Transgender Archives,Alexander Eastwood,Univ. of Toronto,Queer Canada,5:15–6:30 p.m.,224,VCC West,2015,MLA
In Love with Our Undoing: Recent Scenes from Puerto Rico's Tragic Imagination,Benigno Trigo,Vanderbilt Univ.,New Trends in Puerto Rican Literature,5:15–6:30 p.m.,19,VCC East,2015,MLA
Imagining the Chinese in Recent Puerto Rican Fiction,Elena Valdez,Swarthmore Coll.,New Trends in Puerto Rican Literature,5:15–6:30 p.m.,19,VCC East,2015,MLA
Freeing Freedom: 'Hibridity' in Giannina Braschi's United States of Banana,Ronald Mendoza–de Jesús,Emory Univ.,New Trends in Puerto Rican Literature,5:15–6:30 p.m.,19,VCC East,2015,MLA
Humanity's Zoë,Rebekah Sheldon,Indiana Univ.,Age and the Posthuman,5:15–6:30 p.m.,202,VCC West,2015,MLA
"A Perfect Child Caught in a Freeze-Frame: Age, Aging, Temporality, and the Posthuman in A.I. Artificial Intelligence",Rebecca Schäfer,Johannes Gutenberg–Universität Mainz,Age and the Posthuman,5:15–6:30 p.m.,202,VCC West,2015,MLA
Posthuman Alzheimer's: Loving the Virtual (M)Other,Kathleen Venema,Univ. of Winnipeg,Age and the Posthuman,5:15–6:30 p.m.,202,VCC West,2015,MLA
Gatekeeper: Two-Year Colleges' Preparatory Practice,David Heinimann,Northwest Community Coll.,Crossing Borders,5:15–6:30 p.m.,215,VCC West,2015,MLA
Uncrossable Borders in Pearl,Sharon Rhodes,Univ. of Rochester,Crossing Borders,5:15–6:30 p.m.,215,VCC West,2015,MLA
Border Raids: Early Modern Use of the Middle Ages,Lauryn S. Mayer,Washington and Jefferson Coll.,Crossing Borders,5:15–6:30 p.m.,215,VCC West,2015,MLA
NA,Silvia Aguinaga Echeverría,Univ. of California,"Strategies for Advocacy, Lobbying, and Activism in the Humanities",5:15–6:30 p.m.,117,VCC West,2015,MLA
NA,Sasha Colby,Simon Fraser Univ.,"Strategies for Advocacy, Lobbying, and Activism in the Humanities",5:15–6:30 p.m.,117,VCC West,2015,MLA
NA,Bruce Krajewski,Univ. of Texas,"Strategies for Advocacy, Lobbying, and Activism in the Humanities",5:15–6:30 p.m.,117,VCC West,2015,MLA
NA,Teresa Mangum,Univ. of Iowa,"Strategies for Advocacy, Lobbying, and Activism in the Humanities",5:15–6:30 p.m.,117,VCC West,2015,MLA
NA,Juan Miranda,Univ. of California,"Strategies for Advocacy, Lobbying, and Activism in the Humanities",5:15–6:30 p.m.,117,VCC West,2015,MLA
NA,Fei Shi,Quest Univ.,"Strategies for Advocacy, Lobbying, and Activism in the Humanities",5:15–6:30 p.m.,117,VCC West,2015,MLA
Archaeologies of Black Resistance:  Rebel Women in Grace Nichols's I Is a Long Memoried Woman and Nagueyalti Warren's Margaret,Shirley Dyann Toland-Dix,Univ. of South Florida,Commemorating Slave Rebellion,5:15–6:30 p.m.,113,VCC West,2015,MLA
"Django Unchained, the Heroic Slave Narrative, and the Aesthetics of Commemoration",John Mac Kilgore,Florida State Univ.,Commemorating Slave Rebellion,5:15–6:30 p.m.,113,VCC West,2015,MLA
Female Revolutionary Heroism in Alphonse de Lamartine's Toussaint Louverture,Molly Krueger Enz,South Dakota State Univ.,Commemorating Slave Rebellion,5:15–6:30 p.m.,113,VCC West,2015,MLA
NA,NA,NA,Cash Bar and Dinner Arranged by the Milton Society of America,Cash bar at 6:30 p.m. and dinner at 7:30 p.m.,Terminal City Club,837 West Hastings St.,2015,MLA
NA,NA,NA,MLA Awards Ceremony,6:45 p.m.,301,VCC West,2015,MLA
NA,NA,NA,Organizational Meeting for LLC Latina and Latino,7:00–8:15 p.m.,1,VCC East,2015,MLA
NA,Christopher Butterfield,Univ. of Victoria,"Kurt Schwitters's Ursonate
      ",7:00–8:15 p.m.,5,VCC East,2015,MLA
NA,JonArno Lawson,Toronto,A Creative Conversation with the Canadian Poet JonArno Lawson,7:00–8:15 p.m.,118,VCC West,2015,MLA
NA,NA,NA,Cash Bar Arranged by the Discussion Group on Comics and Graphic Narratives,7:00–8:15 p.m.,122,VCC West,2015,MLA
NA,NA,NA,"Reception Arranged by the Department of Spanish and Portuguese, University of Texas, Austin",7:00–8:15 p.m.,209,VCC West,2015,MLA
NA,NA,NA,Reception Arranged by the School of Criticism and Theory,7:00–8:15 p.m.,214,VCC West,2015,MLA
NA,NA,NA,Cash Bar Arranged by the Penn State University Department of English,7:00–8:15 p.m.,203,VCC West,2015,MLA
NA,NA,NA,"Cash Bar Arranged by the German Graduate Program at the University of California, Irvine",7:00–8:15 p.m.,211,VCC West,2015,MLA
NA,NA,NA,Cash Bar Arranged by the Division on Chicana and Chicano Literature,7:00–8:15 p.m.,212,VCC West,2015,MLA
NA,NA,NA,"Cash Bar Arranged by the Department of Spanish and Portuguese, University of Arizona",7:00–8:15 p.m.,221,VCC West,2015,MLA
NA,NA,NA,"Cash Bar Arranged by the Minnesota Review and Mediations
      ",7:00–8:15 p.m.,205,VCC West,2015,MLA
NA,NA,NA,Cash Bar Arranged by the Division on Sixteenth-Century French Literature and the Division on Seventeenth-Century French Literature,7:00–8:15 p.m.,206,VCC West,2015,MLA
NA,NA,NA,Cash Bar and Business Meeting Arranged by Women in French,8:45–10:00 p.m.,218,VCC West,2015,MLA
"'Straw Feminists': Webcomics, Parody, and Intertextuality",Sarah Sillin,Univ. of Maryland,Virtual Women: Webcomics,8:30–9:45 a.m.,3,VCC East,2015,MLA
Ménage à 3: Gender and Sexual Diversity through Women's Perspectives,Nicole Slipp,Queen's Univ.,Virtual Women: Webcomics,8:30–9:45 a.m.,3,VCC East,2015,MLA
One Click Wonder: How Female Comics Creators Leapt from Private to Public in a Single Bound,Aimee Valentine,Western Michigan Univ.,Virtual Women: Webcomics,8:30–9:45 a.m.,3,VCC East,2015,MLA
Books on Small Screens: Rhetorical Strategies of the E-reader Screen,Ellen McCracken,Univ. of California,"“Screens”: E-reading, Intersemiosis, and the Agency of Screens",8:30–9:45 a.m.,215,VCC West,2015,MLA
Screens: Intersemiosis and the Interface,José H. Sanjinés,NA,"“Screens”: E-reading, Intersemiosis, and the Agency of Screens",8:30–9:45 a.m.,215,VCC West,2015,MLA
Expanded Cinema and the Screen as Subject,Christopher Ottinger,Chicago Artists Coalition,"“Screens”: E-reading, Intersemiosis, and the Agency of Screens",8:30–9:45 a.m.,215,VCC West,2015,MLA
1714 as Remnant: Twenty-First-Century Catalan Separatism after the Fold,William Viestenz,Univ. of Minnesota,Thinking 1714: A Memory Event for Catalonia,8:30–9:45 a.m.,16,VCC East,2015,MLA
"Catalunya 1714, Barcelona 1939",Jennifer Duprey,Rutgers Univ.,Thinking 1714: A Memory Event for Catalonia,8:30–9:45 a.m.,16,VCC East,2015,MLA
1714–2014: A Memory Event for a New Catalan State,Edgar Illas,Indiana Univ.,Thinking 1714: A Memory Event for Catalonia,8:30–9:45 a.m.,16,VCC East,2015,MLA
Transatlantic Sites: Gabriel García Márquez's Inclusion of the Black Atlantic in Crónica de una muerte anunciada,Sarah Quesada,NA,Sites of Slave Trade Memory in Hispanic-Caribbean Texts,8:30–9:45 a.m.,7,VCC East,2015,MLA
'Aquí al fondo danzan concejales': Mayra Santos-Febres's Boat People and the Proposal of a Submarine Community,Rebeca Hey-Colón,Harvard Univ.,Sites of Slave Trade Memory in Hispanic-Caribbean Texts,8:30–9:45 a.m.,7,VCC East,2015,MLA
Writing in Absentia: Woolf and the Language of Things,Michelle Ty,Univ. of California,Things in Woolf,8:30–9:45 a.m.,121,VCC West,2015,MLA
The Thing in the Mirror: Woolf on the Self as Object,Celia Marshik,Stony Brook Univ.,Things in Woolf,8:30–9:45 a.m.,121,VCC West,2015,MLA
Imperial Objects in The Waves,Jane M. Garrity,NA,Things in Woolf,8:30–9:45 a.m.,121,VCC West,2015,MLA
"The State and Revolution: A Critique of the Trendy 'Left,'"" Radhika Desai, Univ. of Manitoba",NA,NA,"Theory in the Common, Theory in the (Paris) Commune",8:30–9:45 a.m.,13,VCC East,2015,MLA
The Multitude and 'Je est un autre': Posthumanist Subjectivity in Parkour and Rimbaud,Nathan Guss,Lycoming Coll.,"Theory in the Common, Theory in the (Paris) Commune",8:30–9:45 a.m.,13,VCC East,2015,MLA
The Common in the Commune,Kimberly DeFazio,Univ. of Wisconsin,"Theory in the Common, Theory in the (Paris) Commune",8:30–9:45 a.m.,13,VCC East,2015,MLA
Writing the Jewish Atlantic: Plantation Jews in Postslavery Literatures of the Americas,Sarah P. Casteel,Carleton Univ.,The Jewish American Atlantic,8:30–9:45 a.m.,111,VCC West,2015,MLA
The New Jewish Woman: Single Blessedness in the Era of Emanicipation,Laura Leibman,Reed Coll.,The Jewish American Atlantic,8:30–9:45 a.m.,111,VCC West,2015,MLA
"Mapping the Jewish Diaspora: Mordecai Noah's Travels in England, France, Spain, and the Barbary States",Jacob Crane,Tufts Univ.,The Jewish American Atlantic,8:30–9:45 a.m.,111,VCC West,2015,MLA
Reimagining Diaspora: Charles Yale Harrison and the Spanish Civil War,Emily Robins Sharpe,Keene State Coll.,The Jewish American Atlantic,8:30–9:45 a.m.,111,VCC West,2015,MLA
NA,Amy Earhart,Texas A&M Univ.,Antebellum Print Culture and the Digital Archive,8:30–9:45 a.m.,224,VCC West,2015,MLA
NA,Leon Jackson,Univ. of South Carolina,Antebellum Print Culture and the Digital Archive,8:30–9:45 a.m.,224,VCC West,2015,MLA
NA,J. Gerald Kennedy,Louisiana State Univ.,Antebellum Print Culture and the Digital Archive,8:30–9:45 a.m.,224,VCC West,2015,MLA
NA,Jerome J. McGann,Univ. of Virginia,Antebellum Print Culture and the Digital Archive,8:30–9:45 a.m.,224,VCC West,2015,MLA
"Rememoration, Masculinity, and Horses at Astley's Amphitheatre",Monica Mattfeld,Univ. of Kent,Metaphors of Horsemanship: Tracing History through Equine Memory,8:30–9:45 a.m.,204,VCC West,2015,MLA
Equus and the Production of Queer Historical Memory in the 1970s,Kim Marra,Univ. of Iowa,Metaphors of Horsemanship: Tracing History through Equine Memory,8:30–9:45 a.m.,204,VCC West,2015,MLA
Politics of Horsemanship: Buck Brannaman's American Memory,Jopi Nyman,Univ. of Eastern Finland,Metaphors of Horsemanship: Tracing History through Equine Memory,8:30–9:45 a.m.,204,VCC West,2015,MLA
NA,Elaine Auyoung,Univ. of Minnesota,"The Fictive, the Virtual, and the Counterfactual on the Twentieth Anniversary of Nobody’s Story
      ",8:30–9:45 a.m.,115,VCC West,2015,MLA
NA,Catherine Gallagher,Univ. of California,"The Fictive, the Virtual, and the Counterfactual on the Twentieth Anniversary of Nobody’s Story
      ",8:30–9:45 a.m.,115,VCC West,2015,MLA
NA,Eric Hayot,Penn State Univ.,"The Fictive, the Virtual, and the Counterfactual on the Twentieth Anniversary of Nobody’s Story
      ",8:30–9:45 a.m.,115,VCC West,2015,MLA
NA,Paul K. Saint-Amour,Univ. of Pennsylvania,"The Fictive, the Virtual, and the Counterfactual on the Twentieth Anniversary of Nobody’s Story
      ",8:30–9:45 a.m.,115,VCC West,2015,MLA
NA,Michael Saler,Univ. of California,"The Fictive, the Virtual, and the Counterfactual on the Twentieth Anniversary of Nobody’s Story
      ",8:30–9:45 a.m.,115,VCC West,2015,MLA
Virtual McCaffery: Visual Interfacing in His Poetic Workspace,Henry S. Sussman,Yale Univ.,"Steve McCaffery's Poetic Innovations: Visual, Acoustic, Linguistic",8:30–9:45 a.m.,114,VCC West,2015,MLA
Inventing and Destroying Languages: Steve McCaffery's Postsemiotic Poetries,Susan Jennifer Vanderborg,NA,"Steve McCaffery's Poetic Innovations: Visual, Acoustic, Linguistic",8:30–9:45 a.m.,114,VCC West,2015,MLA
Screams without Objects: Pain and the Bodily Soundscape in Steve McCaffery's Sound Poetry,Ming-Qian Ma,Univ. at Buffalo,"Steve McCaffery's Poetic Innovations: Visual, Acoustic, Linguistic",8:30–9:45 a.m.,114,VCC West,2015,MLA
NA,Paul Benzon,Temple Univ.,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
NA,Amy J. Elias,Univ. of Tennessee,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
NA,Kathleen Fitzpatrick,MLA,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
NA,Matthew Kirschenbaum,Univ. of Maryland,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
NA,Lee Konstantinou,Univ. of Maryland,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
NA,Andrew Pilsch,Arizona State Univ. Polytechnic,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
NA,Zach Whalen,Univ. of Mary Washington,Approaching The Peripheral: First Responses to William Gibson’s New Novel,8:30–9:45 a.m.,212,VCC West,2015,MLA
Language Materiality and Maternality in University Teaching,David Bleich,Univ. of Rochester,Pedagogical Landscapes: Materialities of the Neo–Liberal Arts,8:30–9:45 a.m.,117,VCC West,2015,MLA
A Problem-Based Humanities Pedagogy in the National-Global University,Sarah D'Adamo,McMaster Univ.,Pedagogical Landscapes: Materialities of the Neo–Liberal Arts,8:30–9:45 a.m.,117,VCC West,2015,MLA
Pedagogies of the Corporate Campus,Richard Simpson,NA,Pedagogical Landscapes: Materialities of the Neo–Liberal Arts,8:30–9:45 a.m.,117,VCC West,2015,MLA
"Relearning the City: Neoliberalism, Biopower, and the Effacements of History in Silicon Valley",Brian Chung,Univ. of Hawai`i,Pedagogical Landscapes: Materialities of the Neo–Liberal Arts,8:30–9:45 a.m.,117,VCC West,2015,MLA
NA,S. T. Joshi,independent scholar,"Weird Fiction, Weird Methods",8:30–9:45 a.m.,202,VCC West,2015,MLA
NA,Eileen Joy,Univ. of California,"Weird Fiction, Weird Methods",8:30–9:45 a.m.,202,VCC West,2015,MLA
NA,Kate Marshall,Univ. of Notre Dame,"Weird Fiction, Weird Methods",8:30–9:45 a.m.,202,VCC West,2015,MLA
NA,Alison Sperling,NA,"Weird Fiction, Weird Methods",8:30–9:45 a.m.,202,VCC West,2015,MLA
NA,Matthew A. Taylor,Univ. of North Carolina,"Weird Fiction, Weird Methods",8:30–9:45 a.m.,202,VCC West,2015,MLA
Not in My Home: Dangerous Security in Judith Merril's Shadow on the Hearth,Kelly Singleton,Univ. of Maryland,The Horrified Housewife Heroine: Women’s Domestic Writing during the Early Cold War,8:30–9:45 a.m.,217,VCC West,2015,MLA
"Damsels in Suspense: Containment, Women's Writing, and Cold War Television",Annie Berke,Yale Univ.,The Horrified Housewife Heroine: Women’s Domestic Writing during the Early Cold War,8:30–9:45 a.m.,217,VCC West,2015,MLA
Subversion Gone Awry: The Horrors of Subjection in Tillie Olsen's Tell Me a Riddle,Rachel Curtis,Grand Valley State Univ.,The Horrified Housewife Heroine: Women’s Domestic Writing during the Early Cold War,8:30–9:45 a.m.,217,VCC West,2015,MLA
Domestic Oppressions Submerged: The Abject Horrors of Ellen Douglas's Hold On,Amy K. King,Univ. of Mississippi,The Horrified Housewife Heroine: Women’s Domestic Writing during the Early Cold War,8:30–9:45 a.m.,217,VCC West,2015,MLA
The Vitality of Contagion in Romeo and Juliet,Mary L. Floyd-Wilson,Univ. of North Carolina,Forms of Vitality in Early Modern English Drama,8:30–9:45 a.m.,112,VCC West,2015,MLA
"Epic and Exemplary Vitality in Marlowe's Dido, Queen of Carthage",Garrett A. Sullivan,Penn State Univ.,Forms of Vitality in Early Modern English Drama,8:30–9:45 a.m.,112,VCC West,2015,MLA
The Recognition of Vitality in Shakespeare's Theater,Timothy M. Harrison,Univ. of Chicago,Forms of Vitality in Early Modern English Drama,8:30–9:45 a.m.,112,VCC West,2015,MLA
NA,Samantha Burton,Univ. of Southern California,Victorian Travelers and the Afterlives of Cultural Memory,8:30–9:45 a.m.,116,VCC West,2015,MLA
NA,Lindsay Dearinger,Louisiana State Univ.,Victorian Travelers and the Afterlives of Cultural Memory,8:30–9:45 a.m.,116,VCC West,2015,MLA
NA,Margaret Linley,Simon Fraser Univ.,Victorian Travelers and the Afterlives of Cultural Memory,8:30–9:45 a.m.,116,VCC West,2015,MLA
NA,Alex L. Milsom,Univ. of California,Victorian Travelers and the Afterlives of Cultural Memory,8:30–9:45 a.m.,116,VCC West,2015,MLA
NA,Sarah Winter,Univ. of Connecticut,Victorian Travelers and the Afterlives of Cultural Memory,8:30–9:45 a.m.,116,VCC West,2015,MLA
Warped Modernisms: Making the City in the Work,Jentery Sayers,Univ. of Victoria,Making as Method,8:30–9:45 a.m.,210,VCC West,2015,MLA
Printing Fictions: Notes toward a Method,Kari M. Kraus,Univ. of Maryland,Making as Method,8:30–9:45 a.m.,210,VCC West,2015,MLA
Bots Are Machines for Words,Mark Sample,Davidson Coll.,Making as Method,8:30–9:45 a.m.,210,VCC West,2015,MLA
NA,Florina Catalina Florescu,Wagner Coll.,Negotiating Memory: Contemporary Romanian Culture in Translation,8:30–9:45 a.m.,17,VCC East,2015,MLA
NA,Margaret Greaves,Emory Univ.,Negotiating Memory: Contemporary Romanian Culture in Translation,8:30–9:45 a.m.,17,VCC East,2015,MLA
NA,Anca Luca Holden,NA,Negotiating Memory: Contemporary Romanian Culture in Translation,8:30–9:45 a.m.,17,VCC East,2015,MLA
NA,Ana-Maria M’Enesti,Univ. of Oregon,Negotiating Memory: Contemporary Romanian Culture in Translation,8:30–9:45 a.m.,17,VCC East,2015,MLA
NA,Domnica Radulescu,NA,Negotiating Memory: Contemporary Romanian Culture in Translation,8:30–9:45 a.m.,17,VCC East,2015,MLA
"Life, Lives, and Writing in The Excursion",Anthony John Harding,Univ. of Saskatchewan,British Romantic Life Writing,8:30–9:45 a.m.,120,VCC West,2015,MLA
Whose Life? Periodical Representations and Theorizations of Autobiography,Mark L. Schoenfield,Vanderbilt Univ.,British Romantic Life Writing,8:30–9:45 a.m.,120,VCC West,2015,MLA
Walter Scott and the Antiromance of Romantic Life Writing,Caroline McCracken-Flesher,Univ. of Wyoming,British Romantic Life Writing,8:30–9:45 a.m.,120,VCC West,2015,MLA
Lessing and the Aesthetic Anthropology of the Fable,Gabriel Trop,Univ. of North Carolina,"Universality, Exemplarity, Particularity: Aesthetics",8:30–9:45 a.m.,6,VCC East,2015,MLA
"The Novel, for Example: Rationalist Sources of Narrative in Goethe and Novalis",Leif Weatherby,New York Univ.,"Universality, Exemplarity, Particularity: Aesthetics",8:30–9:45 a.m.,6,VCC East,2015,MLA
Reading the Signs: Adalbert Stifter and the Art of Generalization,Andrew Hamilton,Indiana Univ.,"Universality, Exemplarity, Particularity: Aesthetics",8:30–9:45 a.m.,6,VCC East,2015,MLA
The Exemplary Particulars of Realist Narration: The Case of Die Judenbuche,Geoffrey A. Baker,California State Univ.,"Universality, Exemplarity, Particularity: Aesthetics",8:30–9:45 a.m.,6,VCC East,2015,MLA
NA,Sunny Chan,Univ. of Wisconsin,Crossing Borders in Asian North American Literature,8:30–9:45 a.m.,205,VCC West,2015,MLA
NA,Christine Kim,Simon Fraser Univ.,Crossing Borders in Asian North American Literature,8:30–9:45 a.m.,205,VCC West,2015,MLA
NA,Christopher Lee,Univ. of British Columbia,Crossing Borders in Asian North American Literature,8:30–9:45 a.m.,205,VCC West,2015,MLA
NA,Michelle O'Brien,Univ. of British Columbia,Crossing Borders in Asian North American Literature,8:30–9:45 a.m.,205,VCC West,2015,MLA
