presenter_name,presenter_affiliation,presentation_title,session_title,session_description,year
Hilton Room 342,Level Three,NA,Writers on the Verge: Researching Summer Transition Programs (and Why We Should Do More of It),Summer transition programs should be critical for rhet/comp scholarship as most of these programs include writing instruction.,2016
Sarah Read,DePaul University,NA,Writers on the Verge: Researching Summer Transition Programs (and Why We Should Do More of It),Summer transition programs should be critical for rhet/comp scholarship as most of these programs include writing instruction.,2016
Jada Augustine,California State University,NA,Writers on the Verge: Researching Summer Transition Programs (and Why We Should Do More of It),Summer transition programs should be critical for rhet/comp scholarship as most of these programs include writing instruction.,2016
Jens Lloyd,University of California,NA,Writers on the Verge: Researching Summer Transition Programs (and Why We Should Do More of It),Summer transition programs should be critical for rhet/comp scholarship as most of these programs include writing instruction.,2016
Lance Langdon,University of California-Irvine NA,NA,Writers on the Verge: Researching Summer Transition Programs (and Why We Should Do More of It),Summer transition programs should be critical for rhet/comp scholarship as most of these programs include writing instruction.,2016
Hilton Grand Ballroom L,Level Four,NA,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Damian Baca,University of Arizona,NA,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Romeo Garcia,Syracuse University,"â€˜The Beginning Somewhere Project': Border(ed) Practices, Rhetoric, and Subject-Identities","Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Cruz Medina,Santa Clara University,Strategic Digital Practices and Decolonial Epistemology,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Karrieann Soto,Syracuse University,A Geopolitical Consideration of Lolita LebrÃ³n's Rhetorics of Defiance: Tracing a Genealogy across,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Jaime Mejia,Texas State University,NA,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Aja Martinez,Binghamton University,NA,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Jaime Mejia,Texas State University,NA,"Local/Regional Practices: Recovering, Translating, and Strategic Practices from Spaces and Contexts of Coloniality","This presentation focuses on local/regional practices, within physical or digital contexts that reveal spaces/contexts of coloniality.",2016
Hilton 339B,Level Three,NA,Sound and Listening as Embodied Acts for Writing Research and Pedagogy,This panel investigates the role of embodied sound and listening in writing studies research and pedagogy.,2016
Crystal VanKooten,Oakland University,â€˜Should I Talk to the Camera or to You?': Using Video to Listen to Voices and Bodies in,Sound and Listening as Embodied Acts for Writing Research and Pedagogy,This panel investigates the role of embodied sound and listening in writing studies research and pedagogy.,2016
Harley Ferris,University of Louisville,Re-sounding Feedback: The Role of the Voice in Assessment,Sound and Listening as Embodied Acts for Writing Research and Pedagogy,This panel investigates the role of embodied sound and listening in writing studies research and pedagogy.,2016
Laura Feibush,University of Pittsburgh,The Earful Body: Investigating Pedagogies of Aurality,Sound and Listening as Embodied Acts for Writing Research and Pedagogy,This panel investigates the role of embodied sound and listening in writing studies research and pedagogy.,2016
Jonathan Stone,University of Utah NA,NA,Sound and Listening as Embodied Acts for Writing Research and Pedagogy,This panel investigates the role of embodied sound and listening in writing studies research and pedagogy.,2016
Hilton Room 340A,Level Three,NA,Rhetoric and Feminist Activism,This panel presents diverse analysis of community language use to highlight the importance of incorporating feminist rhetoric and activism.,2016
Jessica Philbrook,University of Missouri,NA,Rhetoric and Feminist Activism,This panel presents diverse analysis of community language use to highlight the importance of incorporating feminist rhetoric and activism.,2016
Johanna Phelps-Hillen,University of South Florida,Renegotiating the Terms of â€˜Service:' The Rhetoric of â€˜Service' in the,Rhetoric and Feminist Activism,This panel presents diverse analysis of community language use to highlight the importance of incorporating feminist rhetoric and activism.,2016
Collette Caton,Rochester Institute of Technology,Hit Like a Girl: The Rhetorical Power of the DIY Ethos in Roller Derby,Rhetoric and Feminist Activism,This panel presents diverse analysis of community language use to highlight the importance of incorporating feminist rhetoric and activism.,2016
Jennifer Nish,American University of Beirut,Revision as a Feminist Strategy: Composing Activist Publics on Social Networking,Rhetoric and Feminist Activism,This panel presents diverse analysis of community language use to highlight the importance of incorporating feminist rhetoric and activism.,2016
Shannon Shaw,Texas State University,I Like the Way You Move: Catcall Rhetoric In Society,Rhetoric and Feminist Activism,This panel presents diverse analysis of community language use to highlight the importance of incorporating feminist rhetoric and activism.,2016
Hilton Room 340B,Level Three,NA,Getting to the Core: When FYC Moves out of the English Department,"A cross-disciplinary panel examines their collaborative efforts to develop a new program and department, CORE, that replaces FY writing.",2016
Wendy Olson,Washington State University Vancouver,NA,Getting to the Core: When FYC Moves out of the English Department,"A cross-disciplinary panel examines their collaborative efforts to develop a new program and department, CORE, that replaces FY writing.",2016
Bethany Shepherd,Adrian College,NA,Getting to the Core: When FYC Moves out of the English Department,"A cross-disciplinary panel examines their collaborative efforts to develop a new program and department, CORE, that replaces FY writing.",2016
Benjamin Dettmar,Adrian College,NA,Getting to the Core: When FYC Moves out of the English Department,"A cross-disciplinary panel examines their collaborative efforts to develop a new program and department, CORE, that replaces FY writing.",2016
Linda Learman,Adrian College,NA,Getting to the Core: When FYC Moves out of the English Department,"A cross-disciplinary panel examines their collaborative efforts to develop a new program and department, CORE, that replaces FY writing.",2016
Melissa Stewart,Adrian College NA,NA,Getting to the Core: When FYC Moves out of the English Department,"A cross-disciplinary panel examines their collaborative efforts to develop a new program and department, CORE, that replaces FY writing.",2016
Hilton Room 333,Level Three,NA,Periodicals and Activism in the 19th Century,"In this presentation, speakers focus on the periodical as an archive for activism, rhetoric, and writing instruction.",2016
Katherine Fredlund,Indiana State University NA,NA,Periodicals and Activism in the 19th Century,"In this presentation, speakers focus on the periodical as an archive for activism, rhetoric, and writing instruction.",2016
Hilton Room 344B,Level Three,NA,"From Inquiry to Informed Action: ""RAD"" Research and Mandatory Writing Center Visits for Developmental Writers A report on research exploring whether mandatory writing center visits affect the attitudes & writing practices of developmental writers.",NA,2016
Halle Neiderman,Kent State University,NA,"From Inquiry to Informed Action: ""RAD"" Research and Mandatory Writing Center Visits for Developmental Writers A report on research exploring whether mandatory writing center visits affect the attitudes & writing practices of developmental writers.",NA,2016
Jennifer Scott,Shawnee State University,NA,"From Inquiry to Informed Action: ""RAD"" Research and Mandatory Writing Center Visits for Developmental Writers A report on research exploring whether mandatory writing center visits affect the attitudes & writing practices of developmental writers.",NA,2016
Cynthia Hermanson,Shawnee State University,NA,"From Inquiry to Informed Action: ""RAD"" Research and Mandatory Writing Center Visits for Developmental Writers A report on research exploring whether mandatory writing center visits affect the attitudes & writing practices of developmental writers.",NA,2016
Marc Scott,Shawnee State University NA,NA,"From Inquiry to Informed Action: ""RAD"" Research and Mandatory Writing Center Visits for Developmental Writers A report on research exploring whether mandatory writing center visits affect the attitudes & writing practices of developmental writers.",NA,2016
Hilton Room 346A,Level Three,NA,Hearing the Forgotten Voice,This panel looks at diverse issues of language within universities.,2016
Kristin Milligan,Texas State University,NA,Hearing the Forgotten Voice,This panel looks at diverse issues of language within universities.,2016
Shirley E. Faulkner-Springfield,Virginia State University,Framing and Claiming the Literacy Practices of Two Eighteen-YearOld African American Males who Self-Identified as Success Academic,Hearing the Forgotten Voice,This panel looks at diverse issues of language within universities.,2016
Erec Smith,York College of Pennsylvania,A Cypher's Tale: Scenes from the Margins of Culture and Disciplinarity,Hearing the Forgotten Voice,This panel looks at diverse issues of language within universities.,2016
Dylan Travis,Arkansas State University,The Translingual Approach: Research into Writing Centers and WAC/WID Programs,Hearing the Forgotten Voice,This panel looks at diverse issues of language within universities.,2016
Hilton Room 335B,Level Three,NA,"Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Tyreek Minor,Florida State University,NA,"Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Laura Yoo,Howard Community College,"Inquiry, Deep","Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Learning,"and Professional Partnerships: Faculty Learning Communities Affecting Change""",NA,"Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Juliette Ludeker,Howard Community College,"Active Listening, Active","Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Sharing,"Active Changing: One Faculty Learning Community's Role in Shifting Department Culture""",NA,"Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Sylvia Lee,Howard Community College,One Action Leads to Others: The (Unexpected) Influence of FPLC in Changing Pedagogical and,"Theory, Practiceâ€¦Talk and Snacks: How One Faculty Professional Learning Community Discovered Action through Collaboration","Discussing how our Faculty Professional Learning Community in Rhetoric and Composition has had a positive, complex impact on our department.",2016
Hilton Ballroom of the Americas Salon A,Level Two,NA,Storytelling and Identity,This session explores narrative as an interventive tool of exploration of traditional forms of scholarship and classroom practices.,2016
Rebecca Manery,University of Michigan,NA,Storytelling and Identity,This session explores narrative as an interventive tool of exploration of traditional forms of scholarship and classroom practices.,2016
Mary Hedengren,University of Texas,Teaching Talent: Creative Writing Pedagogy in the 21st Century,Storytelling and Identity,This session explores narrative as an interventive tool of exploration of traditional forms of scholarship and classroom practices.,2016
Karen Schiler,Oklahoma City University,Strategic Transfers: Exploring Pedagogical Metaphors in Creative Writing and Composition,Storytelling and Identity,This session explores narrative as an interventive tool of exploration of traditional forms of scholarship and classroom practices.,2016
Bess Fox,Marymount University,Personal Academic Scholarship: A Status Update,Storytelling and Identity,This session explores narrative as an interventive tool of exploration of traditional forms of scholarship and classroom practices.,2016
Marshall Kitchens,Oakland University,Race and Storytelling,Storytelling and Identity,This session explores narrative as an interventive tool of exploration of traditional forms of scholarship and classroom practices.,2016
Hilton Room 336B,Level Three,NA,"Required Writing Center Visits: Adding Numbersâ€”and Nuance-to the Conversation Our panel offers both qualitative and data-driven explorations of the complex (and contested!) issues that surround ""mandatory"" tutoring.",NA,2016
Jonathan Maricle,University of South Carolina,NA,"Required Writing Center Visits: Adding Numbersâ€”and Nuance-to the Conversation Our panel offers both qualitative and data-driven explorations of the complex (and contested!) issues that surround ""mandatory"" tutoring.",NA,2016
M. Melissa Elston,Northwest Missouri State University,Data-Driven Best Practices for Mandatory Tutoring Sessions,"Required Writing Center Visits: Adding Numbersâ€”and Nuance-to the Conversation Our panel offers both qualitative and data-driven explorations of the complex (and contested!) issues that surround ""mandatory"" tutoring.",NA,2016
Liz Egan,Millsaps College,Messaging (and Massaging) Writing Center Requirements,"Required Writing Center Visits: Adding Numbersâ€”and Nuance-to the Conversation Our panel offers both qualitative and data-driven explorations of the complex (and contested!) issues that surround ""mandatory"" tutoring.",NA,2016
Nicholas D. Kirse,Northwest Missouri State University,Data-Driven Best Practices for Mandatory Tutoring Sessions,"Required Writing Center Visits: Adding Numbersâ€”and Nuance-to the Conversation Our panel offers both qualitative and data-driven explorations of the complex (and contested!) issues that surround ""mandatory"" tutoring.",NA,2016
Melody Denny,Cottey College,Writing Studio: Directed Self-Placement and â€˜Required' Writing Center Visits,"Required Writing Center Visits: Adding Numbersâ€”and Nuance-to the Conversation Our panel offers both qualitative and data-driven explorations of the complex (and contested!) issues that surround ""mandatory"" tutoring.",NA,2016
Hilton Ballroom of the Americas Salon F,Level Two,NA,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Anna Knutson,University of Michigan,NA,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Benjamin Keating,University of Michigan,Implementing DSP for Transfer Students: A Mini Case Study,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Anne Ruggles Gere,University of Michigan,What Transfer Students Need,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Erin Whittig,University of Arizona,Showing the Work: Transfer Portfolios as an Option for Satisfying Composition Requirements,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Brad Hammer,University of North Carolina,Portfolio Evaluation and Assessing Preparedness,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Naomi Silver,University of Michigan NA,NA,(Transfer) Student-Centered Assessment,Brief descriptions of three models for assessing the writing of transfer students will lead to planning for programs for specific contexts.,2016
Hilton Grand Ballroom A,Level Four,NA,Using the Assessment Story Project to Advocate for Students and Teachers,This panel will report on NCTE's 2015 Assessment Story Project using examples that are relevant to college writing teachers.,2016
Peggy O'Neill,Loyola University Maryland,NA,Using the Assessment Story Project to Advocate for Students and Teachers,This panel will report on NCTE's 2015 Assessment Story Project using examples that are relevant to college writing teachers.,2016
Jenna Fournel,National Council of Teachers of English,NA,Using the Assessment Story Project to Advocate for Students and Teachers,This panel will report on NCTE's 2015 Assessment Story Project using examples that are relevant to college writing teachers.,2016
Darren Cambridge,National Council of Teachers of English,Using the Assessment Story Project to Advocate at the National Level,Using the Assessment Story Project to Advocate for Students and Teachers,This panel will report on NCTE's 2015 Assessment Story Project using examples that are relevant to college writing teachers.,2016
Kathleen Blake Yancey,Florida State University NA,NA,Using the Assessment Story Project to Advocate for Students and Teachers,This panel will report on NCTE's 2015 Assessment Story Project using examples that are relevant to college writing teachers.,2016
Marriott,Grand Ballroom A,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement",Our workshop offers long-term career planning in the field of composition studies.,2015
Louise Wetherbee Phelps,Old Dominion University,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement",Our workshop offers long-term career planning in the field of composition studies.,2015
Alice Horning,Oakland University,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement",Our workshop offers long-term career planning in the field of composition studies.,2015
Kristine Blair,Bowling Green State University,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement",Our workshop offers long-term career planning in the field of composition studies.,2015
Christine Tulley,University of Findlay,NA,"Opportunity, Reflection, and Tactical Foresight: Mapping the Full Span of Your Career from Graduate School to Post-Retirement",Our workshop offers long-term career planning in the field of composition studies.,2015
Marriott,Grand Ballroom B,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Marilee Brooks-Gillies,University of Colorado at Colorado Springs,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Frank Farmer,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Jason Luther,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Martha Webber,California State University Fullerton,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Kristin Prins,University of Wisconsin-Milwaukee,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Patrick Williams,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Chelsea Murdock,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Theorize and make DIY crafts, plan public circulation of your work, and build and share assignments leveraging DIY.",2015
Marriott,Grand Ballroom D,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.,2015
Michelle Wright Dottore,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.,2015
Julie Bates,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.,2015
Elizabeth Williams,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.,2015
Angela Sheets,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.,2015
Marriott,Grand Ballroom G,NA,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom,This half-day workshop will guide participants through performance methods applicable to writing classrooms.,2015
Anna West,Louisiana State University,Stage 1: Story Circles,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom,This half-day workshop will guide participants through performance methods applicable to writing classrooms.,2015
Cara Jones,Towson University,Stage 2: De-Mechanizing the Body,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom,This half-day workshop will guide participants through performance methods applicable to writing classrooms.,2015
Penelope Dane,Louisiana State University,Stage 3: Image Theater,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom,This half-day workshop will guide participants through performance methods applicable to writing classrooms.,2015
Ryan McGuckin,Louisiana State University,Stage 4: Forum Theater,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom,This half-day workshop will guide participants through performance methods applicable to writing classrooms.,2015
David Riche,Louisiana State University,Stage 5: Games for Writers and Non-Writers,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom,This half-day workshop will guide participants through performance methods applicable to writing classrooms.,2015
Marriott,Grand Ballroom H,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Katherine Tirabassi,Keene State College,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Michelle Niestepski,Lasell College,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Robert Schwegler,University of Rhode Island,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Michael Neal,Florida State University,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Jenna Morton-Aiken,University of Rhode Island,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Tarez Samra Graban,Florida State University,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.,2015
Marriott,Grand Ballroom I,NA,Plagiarism as Educational Opportunity: Risks and Innovations,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism.",2015
Valerie Seiling Jacobs,Columbia University,NA,Plagiarism as Educational Opportunity: Risks and Innovations,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism.",2015
Robert Yagelski,State University of New York,NA,Plagiarism as Educational Opportunity: Risks and Innovations,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism.",2015
Carole Papper,Hofstra University,NA,Plagiarism as Educational Opportunity: Risks and Innovations,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism.",2015
Scott Leonard,Youngstown State University,NA,Plagiarism as Educational Opportunity: Risks and Innovations,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism.",2015
Gerald Nelms,Wright State University,NA,Plagiarism as Educational Opportunity: Risks and Innovations,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism.",2015
Tampa CC,Room 22,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches.",2015
David Cregar,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches.",2015
Brian Schwartz,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches.",2015
Marina Fedosik,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches.",2015
Denice Martone,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches.",2015
Marriott,Grand Ballroom J,NA,"Campus Writing Marathons: Cultivating Community, Ownership, and Confidence","Workshop discusses and practices benefits of writing marathons on campus, including increasing retention through engagement.",2015
Kathleen Lawson,Oakland University,NA,"Campus Writing Marathons: Cultivating Community, Ownership, and Confidence","Workshop discusses and practices benefits of writing marathons on campus, including increasing retention through engagement.",2015
Christina Hall,Oakland University,NA,"Campus Writing Marathons: Cultivating Community, Ownership, and Confidence","Workshop discusses and practices benefits of writing marathons on campus, including increasing retention through engagement.",2015
Tampa CC,Room 1,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Susanmarie Harrington,University of Vermont,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Darsie Bowden,DePaul University,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Kathleen Yancey,Florida State University,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Dylan Dryer,University of Maine,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Heidi Estrem,Boise State University,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Beth Brunk-Chavez,University of Texas at El Paso NA,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs.",2015
Marriott,Meeting Room 4,NA,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Brian Ray,University of Nebraska at Kearney,NA,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Paul Butler,University of Houston,Style in the Public,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Students Writing for Wider Audiences and High,Middle,NA,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
How to Vary Style,including Code-Meshing,"I Can't Even,",Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Brian Ray,University of Nebraska at Kearney,â€˜I Don't Have Time for all That!': Juggling Style and Other Pedagogies in a Crammed Syllabus,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Zak Lancaster,Wake Forest University,Style as Stance-Taking: Using Insights from Systemic Functional Linguistics,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Andrea Olinger,University of Louisville,Corpus Stylistics in the,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Using Student-Created Corpora,and Corpus Analysis,NA,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Jonathan Buehl,The Ohio State University,Style and the Professional Writing Curriculum,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Star Medzerian,Nova Southeastern University,Teaching Sentence Variety as an Invention Strategy and Assessing,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
William FitzGerald,Rutgers Camden,Using Rhetorical Figures in the Composition Classroom,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
Nora Bacon,University of Nebraska at Omaha,Style in Academic Writing,Actually Teaching Style: Upping the Ante on Academic Writing,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.,2015
